,ID,Cardio_service,MMA_service,Cycling_service,HSI_unlimited,Total_Revenues_Package,Total_Discount_Promo,Duration,Observed,W,Province_Quebec
19438201,9600096535311825,1,1,1,1,134.99,84.99000000000001,45.0,False,15.0,1
22032673,9600162427571825,0,1,1,0,97.98,0.0,342.0,True,331.0,1
20929366,9600136431551825,1,0,1,1,130.49,27.0,92.0,False,62.0,1
15084585,9500214111581825,1,0,1,1,133.5,56.5,15.0,False,-15.0,0
20731690,9600130564401825,1,0,1,0,85.0,35.0,37.0,False,7.0,1
21235479,9600143076361825,0,0,1,0,25.0,3.0,191.0,True,176.0,1
14525440,9500195787291825,1,0,0,1,103.0,15.0,21.0,True,-9.0,0
13170538,9500162901791825,1,0,1,1,162.45,0.0,74.0,False,44.0,0
5140234,9500076205091825,1,0,1,1,170.49,0.0,209.0,False,179.0,0
22816791,9600207780101825,1,0,1,1,96.0,30.0,17.0,False,-13.0,1
9237444,9500121400551825,1,0,0,0,0.0,0.0,12.0,True,1.0,0
8457406,9500113426601825,1,0,1,0,144.44,0.0,240.0,False,210.0,0
3802027,9500062003601825,1,0,1,1,136.45,36.0,46.0,False,16.0,0
18351791,9600067763501825,1,0,1,1,115.0,30.0,243.0,False,213.0,1
16126148,9600026061301825,1,0,0,0,0.0,0.0,46.0,True,34.0,1
4254655,9500066994961825,1,0,1,1,159.94,0.0,248.0,True,237.0,0
6852839,9500095067301825,1,1,1,1,224.48000000000002,0.0,328.0,False,298.0,0
6624605,9500093099031825,1,1,1,1,210.49,67.0,49.0,False,19.0,0
15912602,9600020535801825,1,0,1,0,0.0,55.0,17.0,True,3.0,1
14041887,9500182689001825,0,0,1,0,0.0,0.0,23.0,True,-4.0,0
509688,9500021733221825,1,1,1,1,201.44,0.0,109.0,False,79.0,0
12426947,9500156912371825,1,0,0,1,90.0,0.0,52.0,True,48.0,0
14892355,9500207492931825,1,0,0,1,100.0,40.0,17.0,False,-13.0,0
9735099,9500127231401825,1,0,1,1,167.44,0.0,64.0,False,34.0,0
9117854,9500120318581825,1,1,0,1,146.94,30.0,45.0,False,15.0,0
5261811,9500077799411825,1,1,1,1,172.94,48.0,112.0,False,82.0,0
8214211,9500110001101825,1,1,1,0,166.44,65.0,324.0,False,294.0,0
452920,9500020838511825,1,0,1,1,148.45,0.0,142.0,True,126.0,0
18932315,9600083198601825,1,0,1,0,0.0,35.0,106.0,True,80.0,1
1136094,9500030759711825,1,1,1,1,193.44,70.0,166.0,False,136.0,0
22723045,9600201969401825,1,1,1,1,165.99,75.0,19.0,False,-11.0,1
4056600,9500064711281825,0,1,0,0,40.99,0.0,230.0,True,211.0,0
8337661,9500112270021825,0,1,1,0,121.47999999999999,0.0,145.0,False,115.0,0
12841733,9500160105281825,1,1,1,1,185.94,0.0,199.0,False,169.0,0
2282711,9500043388571825,1,0,0,1,90.0,20.0,17.0,True,9.0,0
14628954,9500199015901825,1,0,0,1,100.0,35.0,5.0,True,-10.0,0
23089538,9600225648631825,0,1,0,0,0.0,0.0,5.0,True,-19.0,1
3340637,9500056570811825,0,1,0,0,67.99,0.0,89.0,False,59.0,0
10416982,9500134301171825,1,0,1,0,152.44,26.0,98.0,False,68.0,0
18634558,9600075619341825,0,1,0,0,60.99,0.0,345.0,True,325.0,1
22227173,9600173349671825,1,1,1,0,117.44000000000001,0.0,8.0,True,-2.0,1
16096571,9600025286561825,0,0,1,0,21.0,0.0,77.0,False,47.0,1
21964433,9600161369261825,1,0,1,1,130.49,28.0,432.0,False,402.0,1
15001191,9500211137051825,1,0,0,1,103.0,23.0,5.0,True,-14.0,0
11731276,9500148064481825,1,0,0,1,103.0,0.0,34.0,False,4.0,0
13294198,9500164407661825,1,1,0,0,150.99,30.0,122.0,False,92.0,0
4574572,9500070918001825,0,0,1,0,69.49,0.0,282.0,False,252.0,0
6334179,9500089762071825,1,0,1,1,160.5,50.0,130.0,False,100.0,0
22842383,9600209070561825,1,1,1,1,170.99,53.0,17.0,False,-13.0,1
21973099,9600161521961825,0,1,1,0,121.48,22.0,432.0,False,402.0,1
14628714,9500199006421825,1,1,1,1,169.49,54.0,20.0,False,-10.0,0
3369011,9500056884821825,1,0,1,0,155.44,0.0,276.0,True,257.0,0
22213368,9600172134681825,0,0,1,0,21.0,20.0,16.0,True,-2.0,1
17337495,9600049919851825,1,1,1,1,162.93,24.0,265.0,False,235.0,1
16217968,9600026983681825,0,0,1,0,0.0,0.0,270.0,True,265.0,1
6879693,9500095290051825,1,0,1,0,0.0,0.0,44.0,True,27.0,0
11689557,9500147658181825,1,0,0,1,113.0,20.0,174.0,True,159.0,0
18234143,9600065798791825,1,1,1,1,204.94,27.99,117.0,True,112.0,1
7786677,9500105549191825,1,1,1,0,0.0,9.0,60.0,True,55.0,0
14680300,9500200646361825,1,1,1,1,182.49,75.0,20.0,False,-10.0,0
12065351,9500152210011825,1,1,1,0,167.49,0.0,131.0,False,101.0,0
10050499,9500130185811825,1,1,1,0,0.0,0.0,23.0,True,7.0,0
21983430,9600161626581825,1,1,0,1,110.99000000000001,16.0,126.0,False,96.0,1
930209,9500028111521825,1,1,1,1,237.48000000000002,0.0,47.0,False,17.0,0
15680047,9500247249791825,1,0,0,1,113.0,23.0,3.0,False,-27.0,0
18106432,9600063113231825,0,1,1,0,64.49000000000001,0.0,432.0,False,402.0,1
3273548,9500055753741825,0,0,1,0,65.49,0.0,95.0,True,70.0,0
22458457,9600185852451825,0,1,1,0,79.99000000000001,0.0,22.0,True,-5.0,1
19296812,9600091973561825,1,1,1,1,189.93,24.0,282.0,False,252.0,1
13341189,9500164768771825,1,0,1,0,0.0,81.0,8.0,True,1.0,0
8740513,9500116235801825,1,1,1,1,260.43,0.0,203.0,False,173.0,0
8803614,9500116853161825,1,0,1,1,180.49,40.0,130.0,False,100.0,0
6286033,9500089309071825,1,0,0,0,0.0,0.0,46.0,True,19.0,0
15185096,9500217433861825,1,1,1,0,0.0,0.0,10.0,True,-16.0,0
5781638,9500083722251825,0,0,1,0,0.0,0.0,11.0,True,0.0,0
22070011,9600163064951825,1,0,1,1,88.45,14.0,144.0,False,114.0,1
2890304,9500049661521825,1,1,1,1,184.49,0.0,41.0,False,11.0,0
22698558,9600200370031825,0,0,1,0,25.0,6.0,18.0,True,-10.0,1
21195556,9600142377001825,0,0,1,0,25.0,0.0,207.0,False,177.0,1
1491685,9500036583961825,0,0,1,0,69.49,0.0,264.0,False,234.0,0
21160604,9600141694731825,1,1,1,0,116.99000000000001,24.0,114.0,False,84.0,1
20426007,9600118978371825,1,1,1,1,164.93,0.0,73.0,False,43.0,1
